# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ST-F-01;1;2024-10-11 10:30:30 UTC;-1;2.26;0.00;0.34;0.17;0.00;97.24
ST-F-01;1;2024-10-11 10:30:31 UTC;-1;1.32;0.00;0.99;0.17;0.00;97.52
ST-F-01;1;2024-10-11 10:30:32 UTC;-1;4.01;0.00;0.42;0.17;0.00;95.41
ST-F-01;1;2024-10-11 10:30:33 UTC;-1;0.83;0.00;0.08;0.25;0.00;98.83
ST-F-01;1;2024-10-11 10:30:34 UTC;-1;9.46;0.00;1.68;0.17;0.00;88.69
ST-F-01;1;2024-10-11 10:30:35 UTC;-1;2.17;0.00;0.25;0.25;0.00;97.33
ST-F-01;1;2024-10-11 10:30:36 UTC;-1;2.35;0.00;1.01;0.25;0.00;96.39
ST-F-01;1;2024-10-11 10:30:37 UTC;-1;1.67;0.00;0.50;0.17;0.00;97.66
ST-F-01;1;2024-10-11 10:30:38 UTC;-1;1.43;0.00;0.00;0.17;0.00;98.40
ST-F-01;1;2024-10-11 10:30:39 UTC;-1;1.42;0.00;0.42;0.17;0.00;98.00
ST-F-01;1;2024-10-11 10:30:40 UTC;-1;1.26;0.00;0.42;0.25;0.00;98.07
ST-F-01;1;2024-10-11 10:30:41 UTC;-1;1.17;0.00;0.34;0.17;0.00;98.32
ST-F-01;1;2024-10-11 10:30:42 UTC;-1;1.09;0.00;0.33;0.17;0.00;98.41
ST-F-01;1;2024-10-11 10:30:43 UTC;-1;1.18;0.00;0.17;0.25;0.00;98.40
ST-F-01;1;2024-10-11 10:30:44 UTC;-1;1.34;0.00;0.17;0.17;0.00;98.32
ST-F-01;1;2024-10-11 10:30:45 UTC;-1;1.26;0.00;0.08;0.17;0.00;98.49
ST-F-01;1;2024-10-11 10:30:46 UTC;-1;1.09;0.00;0.33;0.17;0.00;98.41
ST-F-01;1;2024-10-11 10:30:47 UTC;-1;1.09;0.00;0.00;0.25;0.00;98.66
ST-F-01;1;2024-10-11 10:30:48 UTC;-1;1.17;0.00;0.08;0.17;0.00;98.58
ST-F-01;1;2024-10-11 10:30:49 UTC;-1;1.25;0.00;0.42;0.17;0.00;98.16
ST-F-01;1;2024-10-11 10:30:50 UTC;-1;1.26;0.00;0.17;0.25;0.00;98.33
ST-F-01;1;2024-10-11 10:30:51 UTC;-1;1.67;0.00;0.50;0.25;0.00;97.59
ST-F-01;1;2024-10-11 10:30:52 UTC;-1;1.41;0.00;0.33;0.25;0.00;98.00
ST-F-01;1;2024-10-11 10:30:53 UTC;-1;0.75;0.00;0.25;0.17;0.00;98.83
ST-F-01;1;2024-10-11 10:30:54 UTC;-1;0.84;0.00;0.42;0.17;0.00;98.58
ST-F-01;1;2024-10-11 10:30:55 UTC;-1;1.25;0.00;0.42;0.25;0.00;98.08
ST-F-01;1;2024-10-11 10:30:56 UTC;-1;0.92;0.00;0.25;0.25;0.00;98.58
